"D_ab","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","coop_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0,11.2,0,0,77.8,0,0,112,778,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4674.56740780423,823.450636384496,23.9015766954077,11.2,12.8835541738519,3104.34874797921,3387.14209800366,2992.34874797921,778,2214.34874797921,-2393.66929620952,2214.34874797921,4608.01804418873,36.7851308692596,144.812557710065
0,11.2,0,0,88.9,0,0,112,889,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4674.56740780423,934.450636384496,23.9015766954077,11.2,12.8835541738519,3171.65579430148,3514.96885958423,3059.65579430148,889,2170.65579430148,-2437.36224988725,2170.65579430148,4608.01804418873,36.7851308692596,144.812557710065
0,11.2,0,0,100,0,0,112,1000,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4674.56740780423,1045.4506363845,23.9015766954077,11.2,12.8835541738519,3223.86109231738,3639.02018408821,3111.86109231738,1000,2111.86109231738,-2496.15695187135,2111.86109231738,4608.01804418873,36.7851308692596,144.812557710065
0,22.3,0,0,0.1,0,0,223,1,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4177.87004910285,449.20997258352,43.9826505773809,22.3,25.1215976443452,3725.06979411273,4652.11710626109,3502.06979411273,1,3501.06979411273,-902.010227573643,3501.06979411273,4403.08002168637,69.1042482217262,144.812557710065
0,22.3,0,0,11.2,0,0,223,112,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4406.24304317151,476.383444156918,43.9826505773809,22.3,25.1215976443452,3898.99358576838,4806.59805417501,3675.99358576838,112,3563.99358576838,-983.632901560045,3563.99358576838,4547.62648732843,69.1042482217261,144.812557710065
0,22.3,0,0,22.3,0,0,223,223,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4569.11259468702,496.289539411282,43.9826505773809,22.3,25.1215976443452,4056.54663780768,4956.98631718483,3833.54663780768,223,3610.54663780768,-1008.85549629063,3610.54663780768,4619.4021340983,69.1042482217261,144.812557710065
0,22.3,0,0,33.4,0,0,223,334,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4703.09320069467,504.560697915822,43.9826505773809,22.3,25.1215976443452,4198.07587855112,5103.36862737069,3975.07587855112,334,3641.07587855112,-1009.57802005938,3641.07587855112,4650.65389861049,69.1042482217262,144.812557710065
0,22.3,0,0,44.5,0,0,223,445,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4826.10996778248,505.716083414135,43.9826505773809,22.3,25.1215976443452,4323.89228489581,5245.82272895686,4100.89228489581,445,3655.89228489581,-1007.9337663008,3655.89228489581,4663.82605119661,69.1042482217262,144.812557710065
0,22.3,0,0,55.6,0,0,223,556,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4837.62201929069,605.682348876112,43.9826505773809,22.3,25.1215976443452,4434.27184576341,5384.41761917377,4211.27184576341,556,3655.27184576341,-1009.03252240339,3655.27184576341,4664.30436816681,69.1042482217262,144.812557710065
0,22.3,0,0,66.7,0,0,223,667,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4837.62201929069,716.682348876112,43.9826505773809,22.3,25.1215976443452,4529.45637749178,5519.21375210586,4306.45637749178,667,3639.45637749178,-1024.84799067503,3639.45637749178,4664.30436816681,69.1042482217262,144.812557710065
0,22.3,0,0,77.8,0,0,223,778,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4837.62201929069,827.682348876112,43.9826505773809,22.3,25.1215976443452,4609.65420715344,5650.26320952127,4386.65420715344,778,3608.65420715344,-1055.65016101337,3608.65420715344,4664.30436816681,69.1042482217262,144.812557710065
0,22.3,0,0,88.9,0,0,223,889,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4837.62201929069,938.682348876112,43.9826505773809,22.3,25.1215976443452,4675.04073763599,5777.60984214191,4452.04073763599,889,3563.04073763599,-1101.26363053082,3563.04073763599,4664.30436816681,69.1042482217262,144.812557710065
0,22.3,0,0,100,0,0,223,1000,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4837.62201929069,1049.68234887611,43.9826505773809,22.3,25.1215976443452,4725.75890628564,5901.28938430432,4502.75890628564,1000,3502.75890628564,-1161.54546188117,3502.75890628564,4664.30436816681,69.1042482217262,144.812557710065
0,33.4,0,0,0.1,0,0,334,1,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4361.66490515106,476.051212060352,60.7157663063971,33.4,36.8922815765993,4657.65936994391,6841.85126589981,4323.65936994391,1,4322.65936994391,-180.056747267498,4322.65936994391,4502.71611721141,97.6080478829963,144.812557710065
0,33.4,0,0,11.2,0,0,334,112,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4565.08757324004,487.767137545108,60.7157663063971,33.4,36.8922815765993,4826.7313242757,6995.11925448275,4492.7313242757,112,4380.7313242757,-226.12338650945,4380.7313242757,4606.85471078515,97.6080478829963,144.812557710065
0,33.4,0,0,22.3,0,0,334,223,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4709.17772516539,508.681163460868,60.7157663063971,33.4,36.8922815765993,4979.90929148103,7144.41374628409,4645.90929148103,223,4422.90929148103,-237.949597145231,4422.90929148103,4660.85888862626,97.6080478829963,144.812557710065
0,33.4,0,0,33.4,0,0,334,334,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4839.98307028499,514.686777740767,60.7157663063971,33.4,36.8922815765993,5117.52446686366,7289.81754012974,4783.52446686366,334,4449.52446686366,-237.145381162096,4449.52446686366,4686.66984802576,97.6080478829963,144.812557710065
0,33.4,0,0,44.5,0,0,334,445,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4956.44383009163,519.915433692428,60.7157663063971,33.4,36.8922815765993,5239.87395660716,7431.40491256562,4905.87395660716,445,4460.87395660716,-236.485307176906,4460.87395660716,4697.35926378406,97.6080478829963,144.812557710065
0,33.4,0,0,55.6,0,0,334,556,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4967.34782883901,620.258864081027,60.7157663063971,33.4,36.8922815765993,5347.22162570945,7569.24182984119,5013.22162570945,556,4457.22162570945,-240.38506721059,4457.22162570945,4697.60669292004,97.6080478829963,144.812557710065
0,33.4,0,0,66.7,0,0,334,667,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4967.34782883901,731.258864081027,60.0712843882809,32.9292132625985,36.4018486837699,5417.58740722397,7612.25388590756,5083.58740722397,667,4416.58740722397,-281.019285696068,4416.58740722397,4697.60669292004,96.4731330720507,144.812557710065
0,33.4,0,0,77.8,0,0,334,778,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4967.34782883901,842.258864081027,57.8331161923492,31.3254247085342,34.7254572229629,5412.66381212197,7431.42940294763,5078.66381212197,778,4300.66381212197,-396.942880798064,4300.66381212197,4697.60669292004,92.5585734153121,144.812557710065
0,33.4,0,0,88.9,0,0,334,889,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4967.34782883901,953.258864081027,55.9843126134706,30.0351564421199,33.3703379523935,5401.36190993393,7306.87528608425,5067.36190993393,889,4178.36190993393,-519.244782986105,4178.36190993393,4697.60669292004,89.3546505658641,144.812557710065
0,33.4,0,0,100,0,0,334,1000,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4967.34782883901,1064.25886408103,54.5351025529992,29.0442522769252,32.3256798898935,5388.19238176429,7236.4914568241,5054.19238176429,1000,4054.19238176429,-643.414311155745,4054.19238176429,4697.60669292004,86.8607824428927,144.812557710065
0,44.5,0,0,0.1,0,0,445,1,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4511.16606841013,479.931121299928,74.3000278934838,44.5,48.2453819733709,5023.08386411513,8959.58617408038,4578.08386411513,1,4577.08386411513,31.9866744050751,4577.08386411513,4545.09718971006,122.545409866855,144.812557710065
0,44.5,0,0,11.2,0,0,445,112,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4693.12071015639,497.679029174665,74.3000278934838,44.5,48.245381973371,5187.64003002439,9111.7252155577,4742.64003002439,112,4630.64003002439,-3.15970930665935,4630.64003002439,4633.79973933105,122.545409866855,144.812557710065
0,44.5,0,0,22.3,0,0,445,223,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4817.82773800907,527.075499171787,70.1482257861617,40.8316513756405,44.5368829030175,5316.4356890335,8568.35061622094,4871.4356890335,223,4648.4356890335,-28.4675481473514,4648.4356890335,4676.90323718086,114.685108689179,144.812557710065
0,44.5,0,0,33.4,0,0,445,334,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4946.47111406506,532.540621185785,68.9656713672351,39.8370124336289,43.5241066414417,5436.12886828541,8524.42941546941,4991.12886828541,334,4657.12886828541,-42.8828669654331,4657.12886828541,4700.01173525084,112.489778008677,144.812557710065
0,44.5,0,0,44.5,0,0,445,445,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5047.08816424613,551.380166397718,65.6572235358638,37.1569906609935,40.7794632130338,5493.69359764156,8154.55244735058,5048.69359764156,445,4603.69359764156,-104.77473300228,4603.69359764156,4708.46833064384,106.436686748898,144.812557710065
0,44.5,0,0,55.6,0,0,445,556,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5056.05703793034,653.482033941578,62.6850709707652,34.8649574226293,38.4135900803915,5521.17303374161,7852.08210698287,5076.17303374161,556,4520.17303374161,-188.3660381303,4520.17303374161,4708.53907187191,101.098661051157,144.812557710065
0,44.5,0,0,66.7,0,0,445,667,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5056.05703793034,764.482033941577,60.0712843885788,32.9292132628152,36.4018486839958,5528.58740723442,7612.25388594953,5083.58740723442,667,4416.58740723442,-291.95166463749,4416.58740723442,4708.53907187191,96.4731330725746,144.812557710065
0,44.5,0,0,77.8,0,0,445,778,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5056.05703793034,875.482033941578,57.8329814976134,31.3253295981122,34.7253575449162,5523.6585364377,7431.4108939879,5078.6585364377,778,4300.6585364377,-407.880535434218,4300.6585364377,4708.53907187191,92.5583390425297,144.812557710065
0,44.5,0,0,88.9,0,0,445,889,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5056.05703793034,986.482033941577,55.9841870970846,30.035069856021,33.3702468197679,5512.35660186159,7306.85837297696,5067.35660186159,889,4178.35660186159,-530.182470010328,4178.35660186159,4708.53907187191,89.3544339168525,144.812557710065
0,44.5,0,0,100,0,0,445,1000,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5056.05703793034,1097.48203394158,54.5354818140767,29.0445093276439,32.3259513332309,5499.20929739947,7236.54181236162,5054.20929739947,1000,4054.20929739947,-654.329774472445,4054.20929739947,4708.53907187191,86.8614331473076,144.812557710065
0,55.6,0,0,0.1,0,0,556,1,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4624.39518208158,480.121091214569,80.9348283482475,51.0797935535971,54.7953011834372,5028.30003269518,10183.7220081,4472.30003269518,1,4471.30003269518,-76.2162406009647,4471.30003269518,4547.51627329615,135.730129531685,144.812557710065
0,55.6,0,0,11.2,0,0,556,112,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4804.42460881901,498.500956183224,75.1342805901973,45.2740218054188,49.0225888064569,5295.64213148637,9256.81666117106,4739.64213148637,112,4627.64213148637,-7.28343351586591,4627.64213148637,4634.92556500224,124.156869396654,144.812557710065
0,55.6,0,0,22.3,0,0,556,223,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4927.43904622137,528.827307584512,70.1482264906683,40.8316519743697,44.536883511723,5427.43569720501,8568.35072970079,4871.43569720501,223,4648.43569720501,-28.8306566008769,4648.43569720501,4677.26635380589,114.685110002391,144.812557710065
0,55.6,0,0,33.4,0,0,556,334,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5054.14610280753,535.960299064385,68.9655559632435,39.8369163603025,43.5240086646389,5547.12716270423,8524.41116179739,4991.12716270423,334,4657.12716270423,-42.9792391676892,4657.12716270423,4700.10640187191,112.489564627882,144.812557710065
0,55.6,0,0,44.5,0,0,556,445,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5149.69223880753,559.846833064385,65.65718595545,37.1569610213547,40.779432730189,5604.69272361574,8154.54677393557,5048.69272361574,445,4603.69272361574,-104.846348256174,4603.69272361574,4708.53907187191,106.436618685639,144.812557710065
0,55.6,0,0,55.6,0,0,556,556,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5158.66111249174,661.948700608244,62.6851567720103,34.8650221458775,38.4136571343778,5632.1755984013,7852.09457584908,5076.1755984013,556,4520.1755984013,-188.434214698683,4520.1755984013,4708.60981309998,101.098813906388,144.812557710065
0,55.6,0,0,66.7,0,0,556,667,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5158.66111249174,772.948700608244,60.0712106891781,32.9291596619958,36.4017928035599,5639.58482041033,7612.24350285989,5083.58482041033,667,4416.58482041033,-292.024992689649,4416.58482041033,4708.60981309998,96.473003492738,144.812557710065
0,55.6,0,0,77.8,0,0,556,778,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5158.66111249174,883.948700608244,57.8331161923593,31.3254247085413,34.7254572229703,5634.66381212236,7431.42940294901,5078.66381212236,778,4300.66381212236,-407.94600097762,4300.66381212236,4708.60981309998,92.5585734153296,144.812557710065
