"D_ba","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","coop_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0,11.2,0,0,22.3,0,0,112,223,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,1948.31221767197,2940.78321393019,29.1885085799959,11.2,27.7182757249948,3319.46812777546,5409.45455655695,3207.46812777546,223,2984.46812777546,-1569.6273038267,2984.46812777546,4554.09543160216,56.9067843049907,115.043397968606
0,11.2,0,0,33.4,0,0,112,334,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2018.82166205521,3038.41642090467,29.1885085799959,11.2,27.7182757249948,3471.1085005969,5608.98136290095,3359.1085005969,334,3025.1085005969,-1586.12958236298,3025.1085005969,4611.23808295988,56.9067843049907,115.043397968606
0,11.2,0,0,44.5,0,0,112,445,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2043.51046381223,3146.56865117479,29.1885085799959,11.2,27.7182757249948,3600.55251726919,5779.30243746976,3488.55251726919,445,3043.55251726919,-1589.52659771782,3043.55251726919,4633.07911498701,56.9067843049907,115.043397968606
0,11.2,0,0,55.6,0,0,112,556,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2047.74081130309,3254.01845678934,29.1885085799959,11.2,27.7182757249948,3710.82928818759,5924.40345183607,3598.82928818759,556,3042.82928818759,-1590.92997990483,3042.82928818759,4633.75926809242,56.9067843049907,115.043397968606
0,11.2,0,0,66.7,0,0,112,667,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2047.74081130309,3365.01845678934,29.1885085799959,11.2,27.7182757249948,3803.61533131165,6046.49035068351,3691.61533131165,667,3024.61533131165,-1609.14393678077,3024.61533131165,4633.75926809242,56.9067843049907,115.043397968606
0,11.2,0,0,77.8,0,0,112,778,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2047.74081130309,3476.01845678934,29.1885085799959,11.2,27.7182757249948,3879.44692537643,6146.26876392664,3767.44692537643,778,2989.44692537643,-1644.31234271599,2989.44692537643,4633.75926809242,56.9067843049907,115.043397968606
0,11.2,0,0,88.9,0,0,112,889,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2047.74081130309,3587.01845678934,29.1885085799959,11.2,27.7182757249948,3937.78125166512,6223.02445641176,3825.78125166512,889,2936.78125166512,-1696.97801642731,2936.78125166512,4633.75926809242,56.9067843049907,115.043397968606
0,11.2,0,0,100,0,0,112,1000,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2047.74081130309,3698.01845678934,29.1885085799959,11.2,27.7182757249948,3976.93448604124,6274.54187006456,3864.93448604124,1000,2864.93448604124,-1768.82478205118,2864.93448604124,4633.75926809242,56.9067843049907,115.043397968606
0,22.3,0,0,0.1,0,0,223,1,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,1845.16634479719,2789.25686582686,47.4280261899613,22.3,43.3137727374517,4150.53427715874,7829.83953991528,3927.53427715874,1,3926.53427715874,-483.888933465301,3926.53427715874,4410.42321062404,90.741798927413,115.043397968606
0,22.3,0,0,11.2,0,0,223,112,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,1943.33105626396,2944.92504830184,47.4280261899613,22.3,43.3137727374517,4336.2685368443,8074.22672371207,4113.2685368443,112,4001.2685368443,-551.987567721495,4001.2685368443,4553.2561045658,90.741798927413,115.043397968606
