"M_ab","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0.1,11.2,48.3832525392429,34.1008771929825,0.1,33.7300178901201,23.6842105263158,2218.72253949403,1507.20995012339,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,2848.6674754495,1403.69368003101,30.6936173003323,11.2,65.6723892013293,2782.95856090579,8810.00600844536,564.236021411768,1507.20995012339,-942.973928711626,-1469.40259457471,-942.973928711626,14.2527360722988,48.0067665050784
0.1,11.2,48.3832525392429,34.1008771929825,11.2,33.7300178901201,23.6842105263158,2378.2001215142,1696.83452187066,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3088.44460544197,1569.98951984515,30.6936173003323,11.2,65.6723892013293,3159.02102927889,10425.2558819377,780.820907764682,1696.83452187066,-916.013614105976,-1499.41309600824,-916.013614105977,14.2527360722988,48.0067665050784
0.1,11.2,48.3832525392429,34.1008771929825,22.3,33.7300178901201,23.6842105263158,2433.33780370861,1829.24863043547,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3208.35502472643,1679.7044792649,30.6936173003323,11.2,65.6723892013293,3352.84750737355,11311.5617943164,919.509703664941,1829.24863043547,-909.738926770525,-1535.21199661778,-909.738926770525,14.2527360722988,48.0067665050784
0.1,11.2,48.3832525392429,34.1008771929825,33.4,33.7300178901201,23.6842105263158,2437.21793960938,1940.89250444158,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3276.73619583771,1774.24107813636,30.6936173003323,11.2,65.6723892013293,3478.83602560194,11926.5158672299,1041.61808599256,1940.89250444158,-899.274418449024,-1572.14124837213,-899.274418449024,14.2527360722988,48.0067665050784
0.1,11.2,48.3832525392429,34.1008771929825,44.5,33.7300178901201,23.6842105263158,2437.21793960938,2051.89250444158,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3310.90486604035,1867.79172965071,30.6936173003323,11.2,65.6723892013293,3568.30862742593,12395.4062745259,1131.09068781655,2051.89250444158,-920.801816625029,-1610.38796826514,-920.801816625029,14.2527360722988,48.0067665050784
0.1,11.2,48.3832525392429,34.1008771929825,55.6,33.7300178901201,23.6842105263158,2437.21793960938,2162.89250444158,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3313.22912252335,1977.01847055249,30.6936173003323,11.2,65.6723892013293,3634.63335306316,12771.7051770748,1197.41541345378,2162.89250444158,-965.477090987805,-1655.61424001268,-965.477090987806,14.2527360722988,48.0067665050784
0.1,11.2,48.3832525392429,34.1008771929825,66.7,33.7300178901201,23.6842105263158,2437.21793960938,2273.89250444158,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3313.22912252335,2088.01847055249,30.6936173003323,11.2,65.6723892013294,3684.7925452724,13083.3419459118,1247.57460566302,2273.89250444158,-1026.31789877857,-1716.45504780344,-1026.31789877857,14.2527360722988,48.0067665050784
0.1,11.2,48.3832525392429,34.1008771929825,77.8,33.7300178901201,23.6842105263158,2437.21793960938,2384.89250444158,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3313.22912252335,2199.01847055249,30.6936173003323,11.2,65.6723892013294,3722.88553493254,13346.7139045523,1285.66759532316,2384.89250444158,-1099.22490911842,-1789.36205814329,-1099.22490911842,14.2527360722988,48.0067665050784
0.1,11.2,48.3832525392429,34.1008771929825,88.9,33.7300178901201,23.6842105263158,2437.21793960938,2495.89250444158,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3313.22912252335,2310.01847055249,30.6936173003323,11.2,65.6723892013294,3751.49901801128,13572.1678368673,1314.2810784019,2495.89250444158,-1181.61142603968,-1871.74857506455,-1181.61142603968,14.2527360722988,48.0067665050784
0.1,11.2,48.3832525392429,34.1008771929825,100,33.7300178901201,23.6842105263158,2437.21793960938,2606.89250444158,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3313.22912252335,2421.01847055249,30.6936173003323,11.2,65.6723892013294,3772.33236646628,13766.5012306873,1335.1144268569,2606.89250444158,-1271.77807758469,-1961.91522660956,-1271.77807758469,14.2527360722988,48.0067665050784
