species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3,spec_code,genus,order,ocean,basin,food_i,food_mode,temp_min,temp_max,climate,body_shape_i,temp_cons,sp_richness,circadian,dev_place,longevity_wild,temp_preferred,fecundity_mean,oxygen_cons,temp_range,iucn_category,fb_name
Epinephelus summana,Serranidae,345000,habitat_reef,reef-associated,52,NA,154.74955828383517,0.286760108,3.89,Actinopteri,0.003297,0.003297,3.75,6.45e-6,0.029410133,NA,0.001198824,39.78773094444448,NA,0.001198824,39.78773094444448,-3,2,2,2: low/mid,2,7366,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",Both,NA,specialist,NA,NA,"subtropical, tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,27,2885045.223853211,194.93333333333337,5.130434782608695,LC,Summan grouper
Epinephelus tauvina,Serranidae,13810000,habitat_reef,reef-associated,100,greasy grouper,14708.165014622162,0.187076498,4.136103002418548,Actinopteri,0.77,0.77,91381.99999999996,0.014020895,23.92044613306724,0.344,1.072355257052883,35.528753736507966,NA,0.344,35.528753736507966,-1,2,4,5: mid/mid,5,4461,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, temperate, tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,27,2885045.223853211,194.93333333333337,5.130434782608695,DD,Greasy grouper
Eptatretus cirrhatus,Myxinidae,1312500,habitat_benthic,bathydemersal,97,NA,1765.1806433137929,0.14925158,4.948608205567196,Myxini,0.04451615,0.04451615,23.228980814668287,0.0034,0.75925,NA,0.03443752,52.79401611111103,NA,0.03443752,52.79401611111103,-2,2,2,2: low/mid,2,23878,Eptatretus,Myxiniformes,Pacific,West,others,specialist,NA,NA,"subtropical, temperate",eel-like,5,83,NA,NA,NA,9,2885045.223853211,7.36,11.5,LC,Broadgilled hagfish
Ethmalosa fimbriata,Clupeidae,467500,habitat_coastal,pelagic neritic,46,NA,391365.8494629845,0.690830323,2.576466614,Actinopteri,0.040637322,0.040637322,69.37218462755803,0.020686774,0.364,NA,0.14006615181605014,38.78619663412701,NA,0.14006615181605014,38.78619663412701,-1,2,4,5: mid/mid,5,1594,Ethmalosa,Clupeiformes,Atlantic,East,"detritus, plants, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, tropical",fusiform / normal,NA,190,NA,planktonic,8.566666669315762,27,2885045.223853211,576.7602106451614,13.575,LC,Bonga shad
Ethmidium maculatum,Clupeidae,310000,habitat_coastal,pelagic neritic,31.200000762939453,NA,32220.378392043676,1.165208538,2.07,Actinopteri,8.129999999999997e-6,8.129999999999997e-6,3.790022135449059,6.45e-6,0.003297,NA,1.9546619560837047e-4,42.46396411904766,NA,1.9546619560837047e-4,42.46396411904766,-4,2,2,2: low/mid,2,1593,Ethmidium,Clupeiformes,Pacific,East,"nekton, plants, zooplankton",generalist,NA,NA,"subtropical, temperate, tropical",fusiform / normal,NA,190,NA,planktonic,8.566666669315762,18,2885045.223853211,576.7602106451614,13.575,DD,Pacific menhaden
Etrumeus whiteheadi,Dussumieriidae,227500,habitat_coastal,pelagic neritic,22,NA,402624.5556677861,0.423849558,3.454345762994971,Actinopteri,8.129999999999997e-6,8.129999999999997e-6,0.6386833132020201,6.45e-6,0.025016,NA,1.478700468364426e-4,33.695063831746026,NA,1.478700468364426e-4,33.695063831746026,-4,2,2,2: low/mid,2,1456,Etrumeus,Clupeiformes,"Atlantic, Indian Ocean",Both,zooplankton,specialist,NA,NA,"subtropical, tropical",elongated,NA,9,NA,planktonic,NA,20,2885045.223853211,NA,NA,LC,Whitehead's round herring
Euthynnus affinis,Scombridae,14720000,pelagic oceanic,pelagic neritic,100,NA,2460508.9375152444,0.630833414,4.5,Actinopteri,23.228980814668287,23.228980814668287,138546.91770612105,0.027348309,28773.00000000001,NA,6.837899578994606,32.98945594444443,NA,6.837899578994606,32.98945594444443,0,2,4,5: mid/mid,5,96,Euthynnus,Scombriformes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,18,29,"subtropical, temperate, tropical",fusiform / normal,24,54,NA,planktonic,10,28,434227,503,11,LC,Kawakawa
Euthynnus alletteratus,Scombridae,5647500,hms,pelagic oceanic,122,NA,115033.1048848034,0.330255295,4.49,Actinopteri,0.04451615,0.04451615,42.102493055442615,0.014020895,0.3026,NA,0.055680072,30.598309533333325,24,0.055680072,24,-2,1,5,1: mid/low,1,97,Euthynnus,Scombriformes,"Atlantic, Mediterranean and Black Sea",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, temperate, tropical",fusiform / normal,NA,54,NA,planktonic,10,24,2885045.223853211,503,11,LC,Little tunny
Euthynnus lineatus,Scombridae,477500,pelagic oceanic,pelagic oceanic,84,NA,15997.525949105058,0.516132309,3.855928723184271,Actinopteri,0.025016,0.025016,69.37218462755803,0.017712,1.2540593259633137,NA,0.15382208096328612,27.183521324603184,NA,0.15382208096328612,27.183521324603184,-1,1,5,1: mid/low,1,98,Euthynnus,Scombriformes,Pacific,East,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, temperate, tropical",fusiform / normal,NA,54,NA,planktonic,10,28,2885045.223853211,503,11,LC,Black skipjack
Eutrigla gurnardus,Triglidae,2227500,habitat_benthic,demersal,60,NA,147714.14684028176,0.181531455,3.87,Actinopteri,0.04451615,0.04451615,8.5,0.006904422,0.77,NA,0.067740228,55.316651924603136,NA,0.067740228,55.316651924603136,-2,2,2,2: low/mid,2,68,Eutrigla,Perciformes/Scorpaenoidei,"Atlantic, Mediterranean and Black Sea",Both,"nekton, others, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, temperate",elongated,NA,126,NA,planktonic,14.142857142857142,6,2885045.223853211,NA,16,LC,Grey gurnard
